Month,Year,Region,Dengue_Cases,Dengue_Deaths,Date,Is_Outbreak,rfh,rfh_avg,rfh_lag1,rfh^2,rfh rfh_avg,rfh rfh_lag1,rfh_avg^2,rfh_avg rfh_lag1,rfh_lag1^2
December,2018,CAR,694,0,2018-12-01,1,-0.5905798131028526,-0.9188139057245791,-1.1522633602397492,-0.5581740179474838,-0.694247377135889,-0.7379736259697057,-0.820253341109717,-0.8995383767989645,-0.6986531704688672
January,2019,CAR,470,2,2019-01-01,0,-1.2472657995736263,-1.6290997105981968,-0.5597609772832125,-0.7185807290764147,-0.8946204375966277,-0.7555945571427872,-1.0191660775836562,-0.9063700771574233,-0.5422860190936882
February,2019,CAR,694,2,2019-02-01,1,-1.3556055395454552,-1.6244696209253477,-1.2208462401947562,-0.7252897554306388,-0.9020085213138678,-0.7989171906199195,-1.0186060807245134,-0.9588150317459035,-0.7058780413596291
March,2019,CAR,398,0,2019-03-01,0,-1.2686585340826981,-1.4126684817178892,-1.3299117706897217,-0.7203488241143955,-0.8869561127953428,-0.799415633243765,-0.9826540271076171,-0.9628196976548197,-0.7127202936631555
April,2019,CAR,163,0,2019-04-01,0,-0.7377567489134141,-1.1054477828008542,-1.242382289095894,-0.6119976059533119,-0.7651542163791705,-0.7684936719172671,-0.8945541191788363,-0.9350773889028171,-0.7076812467291923
May,2019,CAR,187,1,2019-05-01,0,1.1629362270593575,0.22702027082829868,-0.7079238820952078,0.8774824090174135,0.5219038723238929,-0.249656804115613,-0.019852525759359002,-0.5296291946238815,-0.5971784206990358
June,2019,CAR,547,1,2019-06-01,0,0.10330262099187,0.054563712988926316,1.2055022327028215,-0.16531845618435467,-0.13057658036452044,0.4215905975694301,-0.1781661022298314,0.5526611908498518,0.9218792674665881
July,2019,CAR,1226,4,2019-07-01,1,0.533253114402481,1.0150685701631847,0.13876992001594415,0.1932739355423498,0.5769410833920151,0.1243080777113907,0.8742266237690111,0.3740476839865254,-0.1416292426100941
August,2019,CAR,1536,6,2019-08-01,1,2.0831622731332886,1.7423505444268519,0.5716007414909988,2.2173380868914703,2.4115046626558736,1.3209023540826559,1.9478391805576303,1.1829174784499894,0.2240839754896168
September,2019,CAR,1472,5,2019-09-01,1,1.2615481384825178,1.0756640725065758,2.1318930650643857,1.0017509993988134,1.1695379943729685,2.10833025072164,0.9545693423314795,2.177252261251287,2.2883414207348562
October,2019,CAR,992,1,2019-10-01,1,-0.8434713654718902,0.2527061210122656,1.3047747658959614,-0.6442861129981495,-0.5795395306718054,-0.3161932854984746,0.0048743352288390255,0.7717278311918964,1.0486155483961985
November,2019,CAR,756,4,2019-11-01,1,2.3488514203372692,-0.002756700443668304,-0.814346702927343,2.679282726521888,0.9497395582345289,-0.11955307242509285,-0.22781618500271225,-0.6381046862670798,-0.6301081037917053
December,2019,CAR,367,1,2019-12-01,0,-0.28262396199013395,-0.9188139057245791,2.399362119301474,-0.41214567425408943,-0.6161999039771011,0.532672926785552,-0.820253341109717,0.1399168554785716,2.7594592264687434
January,2020,CAR,229,1,2020-01-01,0,-1.1637484037217285,-1.6290997105981968,-0.24974206566896195,-0.7095897237228432,-0.8888548988057104,-0.7086411999206184,-1.0191660775836562,-0.881655147358329,-0.3933578858203441
February,2020,CAR,185,0,2020-02-01,0,-1.314905361367677,-1.6244696209253477,-1.1367693438821582,-0.723425517912236,-0.8991499018535538,-0.7936207438719237,-1.0186060807245134,-0.9519956508832657,-0.6967084951626972
March,2020,CAR,121,0,2020-03-01,0,-1.2581474045098846,-1.4126684817178892,-1.2889389335262467,-0.7195073479473296,-0.8856398723088003,-0.7970021654565697,-0.9826540271076171,-0.9568946733951373,-0.710819036642965
April,2020,CAR,19,1,2020-04-01,0,-0.9876314966360673,-1.1054477828008542,-1.2318007432729272,-0.6797313560218694,-0.8163744506256702,-0.7795645560043631,-0.8945541191788363,-0.9325725687527127,-0.7068230607662106
May,2020,CAR,31,0,2020-05-01,0,-0.04910338423312008,0.22702027082829868,-0.9594725928891721,-0.2712755616863785,-0.14582910206362537,-0.6145273413851816,-0.019852525759359002,-0.6896646999308698,-0.6662572084341996
June,2020,CAR,62,0,2020-06-01,0,-0.5008277227888924,0.054563712988926316,-0.014657084837531191,-0.5202826713551395,-0.43635347177160555,-0.4075244131853518,-0.1781661022298314,-0.16051821196560132,-0.24969041436860798
July,2020,CAR,67,0,2020-07-01,0,0.06356567487850617,1.0150685701631847,-0.46940761898948313,-0.19401184832671403,0.22208818800602,-0.375271617792696,0.8742266237690111,-0.15656548391975078,-0.503642236849198
August,2020,CAR,72,0,2020-08-01,0,0.47009112010173837,1.7423505444268519,0.0987667678094609,0.13507302775307242,0.8882423172520602,0.07124416372963936,1.9478391805576303,0.6672875758447572,-0.1708924200245683
September,2020,CAR,39,26,2020-09-01,0,-0.13014385781191246,1.0756640725065758,0.5080156118116979,-0.3231080808577882,0.09620904897826434,-0.04206668954908868,0.9545693423314795,0.7309761810851839,0.16472733052163582
October,2020,CAR,40,28,2020-10-01,0,0.9932127848794339,0.2527061210122656,-0.09624046545790681,0.6744555766270885,0.44456857064593824,0.1673376548225977,0.0048743352288390255,-0.13038824016754877,-0.3025522090573199
November,2020,CAR,38,15,2020-11-01,0,1.6487237063081313,-0.002756700443668304,1.0346417777709718,1.5344906522241082,0.6057930853090276,1.494166916482196,-0.22781618500271225,0.4108483302376937,0.7148207856161296
December,2020,CAR,78,2,2020-12-01,0,0.2101286507055397,-0.9188139057245791,1.694544103634545,-0.08444941651418915,-0.49131805427582154,0.7521602648512589,-0.820253341109717,-0.06636243224719827,1.5919341946895862
January,2016,NCR,1261,4,2016-01-01,0,-1.3601995271851834,-1.7078159074818073,-1.334536534411183,-0.7254505838475404,-0.9038705989967294,-0.8016490493349916,-1.0272073982830292,-0.9698259522353067,-0.7128843157653081
February,2016,NCR,999,7,2016-02-01,0,-1.3906351519088473,-1.7767899019353508,-1.334536534411183,-0.7262619754505805,-0.9060786523139212,-0.8023151737333053,-1.0319567606755193,-0.9713069778494252,-0.7128843157653081
March,2016,NCR,730,3,2016-03-01,0,-1.2270436623090495,-1.7123771169417807,-1.365176053735258,-0.7167088046279445,-0.897641440226182,-0.8006476362991984,-1.0275877116746643,-0.9716015112978512,-0.7137118197534937
April,2016,NCR,448,2,2016-04-01,0,-1.3529710659656813,-1.6797129657252565,-1.200488630613299,-0.7251929876995314,-0.9029475083011377,-0.7982804456021594,-1.0246572114836956,-0.9605702038829016,-0.7039689447644863
